Code,Indicator Name,Long definition,Source
KPALM_OIL,"Palm oil, $/mt, constant 2000$",,World Bank.
PLMKRNL_OIL,"Palmkernal oil, $/mt, current","Palmkernel Oil (Malaysia), c.I.f. Rotterdam","ISTA Mielke GmbH, Oil World; US Department of Agriculture; World Bank."
KPLMKRNL_OIL,"Palmkernal oil, $/mt, constant 2000$",,World Bank.
PHOSROCK,"Phosphate rock, $/mt, current","Phosphate rock (Morocco), 70% BPL, contract, f.a.s. Casablanca",Fertilizer Week; Fertilizer International; World Bank.
KPHOSROCK,"Phosphate rock, $/mt, constant 2000$",,World Bank.
PLYWOOD,"Plywood, cents/sheets, current","Plywood (Africa and Southeast Asia), Lauan, 3-ply, extra, 91 cm x 182 cm x 4 mm,  wholesale price, spot Tokyo",Japan Lumber Journal; International Tropical Timber Organization; Nikkei Newsletter on Commodities; World Bank.
KPLYWOOD,"Plywood, cents/sheets, constant 2000$",,World Bank.
POTASH,"Potassium Chloride, $/mt, current","Potassium chloride (muriate of potash), standard grade, spot, f.o.b.  Vancouver",Fertilizer Week; Fertilizer International; World Bank.
KPOTASH,"Potassium Chloride, $/mt, constant 2000$",,World Bank.
RICE_A1,"Rice, Thai, A1.Special, $/mt, current","Rice (Thailand), 100% broken, A.1 Super from 2006 onwards, government standard, f.o.b. Bangkok; prior to 2006, A1 Special, a slightly lower grade than A1 Super.",US Department of Agricuture; World Bank.
RICE_25,"Rice, Thailand, 25%, $/mt, current","Rice (Thailand), 25% broken, WR, milled indicative survey price, government standard, f.o.b. Bangkok",US Department of Agricuture; World Bank.
KRICE_25,"Rice, Thailand, 25%, $/mt, constant 2000$",,World Bank.
RICE_05,"Rice, Thailand, 5%, $/mt, current","Rice (Thailand), 5% broken, white rice (WR), milled, indicative price based on  weekly surveys of export transactions, government standard, f.o.b. Bangkok",US Department of Agricuture; World Bank.
KRICE_05,"Rice, Thailand, 5%, $/mt, constant 2000$",,World Bank.
KRICE_A1,"Rice, Thai, A1.Special, $/mt, constant 2000$",,World Bank.
RUBBER1_MYSG,"Rubber, Singapore, cents/kg, current","Rubber (Asia), RSS3 grade, Singapore Commodity Exchange Ltd (SICOM) nearby contract beginning 2004; during 2000 to 2003, Singapore RSS1; previously Malaysia RSS1",Singapore Commodity Exchange Ltd (SICOM); Bloomberg; Rubber Association of Singapore Commodity Exchange (RASCE); International Rubber Study Group; Asian Wall Street Journal; World Bank.
KRUBBER1_MYSG,"Rubber, Singapore, cents/kg, constant 2000$",,World Bank.
SAWNWD_CMR,"Sawnwood, Cameroon, $/cum, current","Sawnwood (Cameroon), sapele, width 6 inches or more, length 6 feet or more, f.a.s. Cameroonian ports",International Tropical Timber Organization; Marches Tropicaux et Mediterraneens; World Bank.
KSAWNWD_CMR,"Sawnwood, Cameroon, $/cum, constant 2000$",,World Bank.
SAWNWD_MYS,"Sawnwood, Malaysia, $/cum, current","Sawnwood (Malaysia), dark red seraya/meranti, select and better quality, average 7 to 8 inches; length average 12 to 14 inches; thickness 1 to 2 inch(es);  kiln dry, c. & f. UK ports, with 5% agents commission including premium for products of certified sustainable forest beginning January 2005; previously excluding the premium",International Tropical Timber Market Report; Tropical Timbers; World Bank.
KSAWNWD_MYS,"Sawnwood, Malaysia, $/cum, constant 2000$",,World Bank.
SHRIMP_MEX,"Shrimp, Mexico, cents/kg, current","Shrimp , (Mexico), west coast, frozen, white, No. 1,  shell-on, headless, 26 to 30 count per pound, wholesale price at New York","US Department of Commerce, NOAA, Fishery Market News; World Bank."
KSHRIMP_MEX,"Shrimp, Mexico, cents/kg, constant 2000$",,World Bank.
SILVER,"Silver, cents/toz, current","Silver (Handy & Harman), 99.9% grade refined, New York","Platts Metasl Week; Australian Minerals Economics Pty, Ltd., Silver World Supply & Demand, Thomson Reuters Datastream; World Bank."
KSILVER,"Silver, cents/toz, constant 2000$",,World Bank.
SORGHUM,"Sorghum, $/mt, current","Sorghum (US), no. 2 milo yellow, f.o.b. Gulf ports",US Department of Agriculture; World Bank.
KSORGHUM,"Sorghum, $/mt, constant 2000$",,World Bank.
SOYBEAN_MEAL,"Soybean meal, $/mt, current","Soybean meal (any origin), Argentine 45/46% extraction, c.i.f. Rotterdam beginning 1990; previously US 44%","ISTA Mielke GmbH, Oil World; US Department of Agriculture; World Bank."
KSOYBEAN_MEAL,"Soybean meal, $/mt, constant 2000$",,World Bank.
SOYBEAN_OIL,"Soybean oil, $/mt, current","Soybean oil (Any origin), crude, f.o.b. ex-mill Netherlands","ISTA Mielke GmbH, Oil World; US Department of Agriculture; World Bank."
KSOYBEAN_OIL,"Soybean oil, $/mt, constant 2000$",,World Bank.
SOYBEANS,"Soybeans, $/mt, current","Soybeans (US), c.i.f. Rotterdam","ISTA Mielke GmbH, Oil World; US Department of Agriculture; World Bank."
KSOYBEANS,"Soybeans, $/mt, constant 2000$",,World Bank.
STL_JP_CROLL,"Steel cr coilsheet, $/mt, current",Cold-rolled coil/sheet (Japan) producers' export contracts (3 to 12 months terms) fob mainly to Asia,"Japan Metal Bulletin, World Bank."
KSTL_JP_CROLL,"Steel cr coilsheet, $/mt, constant 2000$",,World Bank.
STL_JP_HROLL,"Steel hr coilsheet, $/mt, current",Hot-rolled coil/sheet (Japan) producers' export contracts (3 to 12 months terms) fob mainly to Asia,"Japan Metal Bulletin, World Bank."
KSTL_JP_HROLL,"Steel hr coilsheet, $/mt, constant 2000$",,World Bank.
STL_JP_WIROD,"Steel wire rod, $/mt, current",Wire ord (Japan) producers' export contracts (3 to 12 months terms) fob mainly to Asia,"Japan Metal Bulletin, World Bank."
KSTL_JP_WIROD,"Steel wire rod, $/mt, constant 2000$",,World Bank.
STL_JP_REBAR,"Steel, rebar, $/mt, current",Rebar (concrete Reinforcing bars) (Japan) producers' export contracts (3 to 12 months terms) fob mainly to Asia,"Japan Metal Bulletin, World Bank."
KSTL_JP_REBAR,"Steel, rebar, $/mt, constant 2000$",,World Bank.
SUGAR_EU,"Sugar, EU, cents/kg, current","Sugar (EU), European Union negotiated import price for raw unpackaged sugar from African, Caribbean and Pacific (ACP) under Lome Conventions, c.I.f. European ports",International Monetary Fund; World Bank.
KSUGAR_EU,"Sugar, EU, cents/kg, constant 2000$",,World Bank.
SUGAR_US,"Sugar, US, cents/kg, current","Sugar (US), nearby futures contract, c.i.f. ","Bloomberg, World Bank."
KSUGAR_US,"Sugar, US, cents/kg, constant 2000$",,World Bank.
SUGAR_WLD,"Sugar, world, cents/kg, current","Sugar (world), International Sugar Agreement (ISA) daily price, raw,  f.o.b. and stowed at greater Caribbean ports",International Sugar Organization; Thomson Reuters Datastream; World Bank.
KSUGAR_WLD,"Sugar, world, cents/kg, constant 2000$",,World Bank.
TEA_AVG,"Tea, acutions (3) average, cents/kg, current","Tea , average three auctions, arithmetic average of quotations at Kolkata, Colombo and Mombasa/Nairobi.",World Bank.
KTEA_AVG,"Tea, auctions (3) average, cents/kg, constant 2000$",,World Bank.
TEA_COLOMBO,"Tea, Colombo auctions, cents/kg, current","Tea (Colombo auctions), Sri Lankan origin, all tea, arithmetic average of weekly quotes.",International Tea Committee; Sri Lanka Tea Board; Tea Broker's Association of London; World Bank.
KTEA_COLOMBO,"Tea, Colombo auctions, cents/kg, constant 2000$",,World Bank.
TEA_KOLKATA,"Tea, Kokata auctions, cents/kg, current","Tea (Kolkata auctions), leaf, include excise duty, arithmetic average of weekly quotes.",International Tea Committee; Tea Board of India; Tea Broker's Association of London; World Bank.
KTEA_KOLKATA,"Tea, Kokata auctions, cents/kg, constant 2000$",,World Bank.
TEA_MOMBASA,"Tea, Mombasa auctions, cents/kg, current","Tea (Mombasa/Nairobi auctions), African origin, all tea, arithmetic average of weekly quotes.",International Tea Committee; African Tea Brokers Ltd.; Tea Broker's Association of London; World Bank.
KTEA_MOMBASA,"Tea, Mombasa auctions, cents/kg, constant 2000$",,World Bank.
TIN,"Tin, cents/kg, current","Tin (LME), refined, 99.85% purity, settlement price","Platts Metals Week, Engineering and Mining Journal; Thomson Reuters Datastream; World Bank."
KTIN,"Tin, cents/kg, constant 2000$",,World Bank.
TOBAC_US,"Tobacco, $/mt, current","Tobacco (any origin), unmanufactured, general import , cif, US","US Department of Agriculture, World Bank."
KTOBAC_US,"Tobacco, $/mt, constant 2000$",,World Bank.
